Torre (from Item Portfólio),Item Portfólio,Produto/Serviço,MRR,Clientes,Classificação BCG*
Torre MG,TMS Transportador FTL Médio/Grande,Signa - e-Cargo TMS,R$ 166039.00,17,Migrar
Torre MG,Torre de Controle PSL,ATSlog - ATSsiga,R$ 0.00,0,Migrar
Torre MG,Torre de Controle PSL,ATSlog - ATSsiga Smartweb,R$ 0.00,0,Growth
Torre Mobilidade,Gestão de Passagens Rodoviárias,Praxio - Luna,R$ 424730.39,83,Growth
Torre Mobilidade,TMS Passageiros Médio e Grande,Multisoftware - MultiBus,R$ 0.00,0,Descontinuar
Torre Mobilidade,TMS Passageiros Médio e Grande,Praxio - Globus,R$ 4681372.32,506,Maduro
Torre Mobilidade,TMS Passageiros Micro e Pequeno,Praxio - Siga,R$ 668307.09,184,Growth
Torre Mobilidade,TMS Passageiros Micro e Pequeno,Praxio - Siga Emissor,R$ 8427.72,69,MVP
Torre Mobilidade,TMS Passageiros Micro e Pequeno,Praxio - Siga One,R$ 18932.76,17,Growth
Torre Plataforma,Plataforma,Nstech - Plataforma,R$ 0.00,0,Dúvida
Torre PME,Armazenamento de XML e Gestão de Documentos,Bsoft - nsdocs,R$ 1137905.85,4781,Growth
Torre PME,Armazenamento de XML e Gestão de Documentos,Datamex - Xml Protegido,R$ 112532.80,904,Migrar
Torre PME,Armazenamento de XML e Gestão de Documentos,Otimizy - Coleta XML,R$ 5278.00,94,Descontinuado
Torre PME,ERP e Emissores para Varejo e Indústria,Bsoft - Controle Comercial,R$ 34435.80,121,Migrar
Torre PME,ERP e Emissores para Varejo e Indústria,Bsoft - NFe Prático,R$ 126210.33,980,Migrar
Torre PME,ERP e Emissores para Varejo e Indústria,Otimizy - ErpSoft Desktop,R$ 223284.31,559,Dúvida
Torre PME,ERP e Emissores para Varejo e Indústria,Otimizy - Erpsoft One,R$ 36963.93,304,Dúvida
Torre PME,TMS Transportador FTL Micro,Atua - Mais CTe,R$ 0.00,0,Migrar
Torre PME,TMS Transportador FTL Micro,Bsoft - CTe Prático,R$ 658038.80,3871,Migrar
Torre PME,TMS Transportador FTL Micro,Bsoft - MDFe Prático,R$ 9408.82,94,Migrar
Torre PME,TMS Transportador FTL Micro,Datamex - Emissor Simples,R$ 0.00,0,Migrar
Torre PME,TMS Transportador FTL Micro,Hivecloud - CTe,R$ 246407.42,2851,Growth
Torre PME,TMS Transportador FTL Micro,Hivecloud - MDFe,R$ 1060302.22,4428,Growth
Torre PME,TMS Transportador FTL Micro,Multisoftware - MultiCTe,R$ 738599.57,3930,Migrar
Torre PME,TMS Transportador FTL Micro,Otimizy - Muvly,R$ 0.00,0,Descontinuado
Torre PME,TMS Transportador FTL Pequeno,Bsoft - Controle de Transportadoras,R$ 3298035.17,3348,Migrar
Torre PME,TMS Transportador FTL Pequeno,Bsoft - One,R$ 0.00,0,Descontinuado
Torre PME,TMS Transportador FTL Pequeno,Bsoft - TMS,R$ 2075016.78,3941,Growth
Torre PME,TMS Transportador FTL Pequeno,Datamex - TMS Nacional,R$ 0.00,0,Descontinuado
Torre PME,TMS Transportador FTL Pequeno,Hivecloud - TMS,R$ 33568.94,86,Migrar
Torre VGR,Cadastro,BRK - BRSystem (Cadastro),R$ 3460574.00,961,Migrar
Torre VGR,Cadastro,BU VGR - Cadastro Unificado,R$ 0.00,0,Growth
Torre VGR,Cadastro,Buonny - Buonny Check,R$ 8875848.00,11145,Migrar
Torre VGR,Cadastro,Opentech - Cadastro ,R$ 3118127.00,2466,Migrar
Torre VGR,Cadastro,Pesquisa 4.0,R$ 0.00,0,Maduro
Torre VGR,Gestão e Visibilidade Logística,BRK - BRLog,R$ 1456334.00,54,Migrar
Torre VGR,Gestão e Visibilidade Logística,Buonny - Buonny Log,R$ 159726.00,232,Migrar
Torre VGR,Gestão e Visibilidade Logística,Opentech - SIL,R$ 3512900.00,366,Migrar
Torre VGR,Monitoramento,BRK - BRChecklist,R$ 2095256.17,0,Migrar
Torre VGR,Monitoramento,BRK - BRSystem (Gerenciamento de Risco),R$ 6615653.00,805,Growth
Torre VGR,Monitoramento,BU VGR - Zeus,R$ 0.00,0,Growth
Torre VGR,Monitoramento,Buonny - Buonny SAT,R$ 4875967.00,3229,Growth
Torre VGR,Monitoramento,Opentech - GR,R$ 6800124.00,712,Growth
Torre VGR,Prevenção de Acidentes,BRK - BRSipa,R$ 91125.00,22,Migrar
Torre VGR,Prevenção de Acidentes,Buonny - Bsafe,R$ 51000.00,3,Migrar
Torre VGR,Prevenção de Acidentes,Onisys - Plataforma de gestão da segurança,R$ 610034.00,0,Estabilização
Torre VGR,Prevenção de Acidentes,Onisys - Torre de Prevenção de Acidentes,R$ 130000.00,1,Estabilização
Torre VGR,Prevenção de Acidentes,Opentech - PPA,R$ 75447.00,11,Migrar
Torre VGR,Rastreamento e Telemetria,Buonny - Buonny Tech,R$ 1304082.00,6,Dúvida
Torre VGR,Software de Gestão de Risco,BU VGR - Rastrear,R$ 0.00,0,Migrar
Torre VGR,Software de Gestão de Risco,Trafegus - CAD 4.0,R$ 59274.00,7,Growth
Torre VGR,Software de Gestão de Risco,Trafegus - Checklist,R$ 24634.14,5,Growth
Torre VGR,Software de Gestão de Risco,Trafegus - Gestão de Riscos - Delphi,R$ 0.00,0,Migrar
Torre VGR,Software de Gestão de Risco,Trafegus - Gestão de Riscos - Web,R$ 769870.20,79,Growth
